fat,protein,carbohydrate,kcal,food_name,food_id,dietary_fiber,sodium,price,desc,g_step
22.3,16.9,4.1,282.3798,山姆牛肉饼,,,,,,
0.8,18.6,2.8,45.0,去皮对虾,,,,,,
15.8,7.4,63.2,443.6373,水果麦片,,,,,,
0.9,7.9,77.2,346.0,生米,,,,,,
0.8,1.0,8.1,45.0,燕麦牛奶,,,,,,
9.0,12.7,1.5,138.0,鸡蛋,,,,,,
50.7,19.0,14.3,583.3938,山姆混合坚果,,,,,,
40.0,13.461538461538462,31.538461538461537,548.5511538461539,每日坚果,,,,,,
0.2,1.4,22.0,93.0,香蕉,,,,,,
100.0,0.0,0.0,899.0,葵花籽油,,,,,,
21.6,17.8,0.0,263.0,三文鱼块,,,,,,
25.2,7.1,45.7,430.0,丹麦酥,,,,,,
0.1,1.6,20.1,86.0,红薯,,,,,,
2.4,9.0,73.5,363.8447,糙米,,,,,,
